Unit,UnitGroup,FrequencyGroup,FrequencyRate,ExchangeRate,ConversionRate
PYG Thousand/Month,USD/YEAR,/Year,12,0.13439072,1.612688634
MZN/Month,USD/YEAR,/Year,12,0.015815278,0.189783331
JPY/Hour,USD/YEAR,/Year,8760,0.006682437,58.53815003
HKD/Hour,USD/YEAR,/Year,8760,0.12780794,1119.597558
CLP/Month,USD/YEAR,/Year,12,0.00107371,0.012884522
BOB/Month,USD/YEAR,/Year,12,0.145772595,1.749271137
AOA/Month,USD/YEAR,/Year,12,0.001201201,0.014414414
VEF/Month,USD/YEAR,/Year,12,0.0028,0.0336
TND/Day,USD/YEAR,/Year,365,0.317571215,115.9134936
THB/Day,USD/YEAR,/Year,365,0.027631943,10.08565902
ZAR/Hour,USD/YEAR,/Year,8760,0.05284189,462.8949535
NGN/Month,USD/YEAR,/Year,12,0.001132503,0.013590034
IDR Million/Month,USD/YEAR,/Year,12,62.77463905,753.2956685
CNY/Month,USD/YEAR,/Year,12,0.136901535,1.642818419
LKR/Month,USD/YEAR,/Year,12,0.003068426,0.036821111
PGK/Week,USD/YEAR,/Year,51,0.26929136,13.73385935
OMR/month,USD/YEAR,/Year,12,2.597402597,31.16883117
COP/Month,USD/YEAR,/Year,12,0.000237383,0.002848597
BDT/Month,USD/YEAR,/Year,12,0.009090909,0.109090909
PHP/day,USD/YEAR,/Year,365,0.01759634,6.422664086
MMK/day,USD/YEAR,/Year,365,0.000477623,0.174332521
KES/Month,USD/YEAR,/Year,12,0.006666667,0.08
GBP Million,USD,NA,1,1225790,1225790
NOK Million,USD,NA,1,90377.50685,90377.50685
NZD Million,USD,NA,1,585720,585720
MYR Million,USD,NA,1,209205.0209,209205.0209
EGP Million,USD,NA,1,32414.91086,32414.91086
DKK Billion,USD,NA,1,143007096,143007096
BGN Thousand,USD,NA,1,550,550
BWP Million,USD,NA,1,72699.77899,72699.77899
AUD Billion,USD,NA,1,634890000,634890000
ALL Million,USD,NA,1,10135.81999,10135.81999
UAH Million,USD,NA,1,27397.26027,27397.26027
SEK Million,USD,NA,1,91210.91612,91210.91612
KRW Hundred Million,USD,NA,1,74460.71825,74460.71825
SGD Million,USD,NA,1,731769.7852,731769.7852
RUB Million,USD,NA,1,10582.51451,10582.51451
PLN Million,USD,NA,1,239448.12,239448.12
PKR Million,USD,NA,1,3596.475454,3596.475454
JPY Billion,USD,NA,1,6682437.219,6682437.219
HKD Million,USD,NA,1,127807.9405,127807.9405
CLP Billion,USD,NA,1,1073710.206,1073710.206
BIF Billion,USD,NA,1,354223.0472,354223.0472
BRL Million,USD,NA,1,199449.5193,199449.5193
BOB Million,USD,NA,1,145772.5948,145772.5948
AOA Million,USD,NA,1,1201.201201,1201.201201
USD Billion,USD,NA,1,1000000000,1000000000
UGX Billion,USD,NA,1,267022.6969,267022.6969
THB Million,USD,NA,1,27631.94253,27631.94253
ZAR Million,USD,NA,1,52841.88967,52841.88967
RSD Million,USD,NA,1,9115.770283,9115.770283
MXN Thousand,USD,NA,1,55.15722844,55.15722844
IDR Billion,USD,NA,1,62774.63905,62774.63905
HUF Billion,USD,NA,1,2798173.352,2798173.352
CNY Hundred Million,USD,NA,1,13690153.49,13690153.49
CAD Million,USD,NA,1,730940.7207,730940.7207
BDT Billion,USD,NA,1,9090909.091,9090909.091
AED Million,USD,NA,1,272301.4922,272301.4922
TWD Million,USD,NA,1,30997.17926,30997.17926
CHF Million,USD,NA,1,1122737.684,1122737.684
PEN Million,USD,NA,1,259827.9939,259827.9939
EUR Billion,USD,NA,1,1067270000,1067270000
BHD Million,USD,NA,1,2658160.553,2658160.553
TRY Thousand,USD,NA,1,35.60565033,35.60565033
PHP Million,USD,NA,1,17596.33996,17596.33996
SSP Million,USD,NA,1,994.7936678,994.7936678
QAR Million,USD,NA,1,274468.9027,274468.9027
MRU Billion,USD,NA,1,26000000,26000000
KYD Million,USD,NA,1,1212121.212,1212121.212
XOF Billion,USD,NA,1,1625355.547,1625355.547
